seed,todos_ok,n_ok,se_puro_ok,se_m4_ok,s_puro_ok,s_m4_ok,ll_se_puro,ll_se_m4,ll_s_puro,ll_s_m4,ab_se_puro,ab_se_m4,ab_s_puro,ab_s_m4
6307607,FALSE,0,FALSE,FALSE,FALSE,FALSE,1598.6346346388407,1598.6346346388407,1272.8436956490048,1272.8436956490048,0.9871408671075677,0.9871408671075677,0.9878546165026048,0.9878546165026048
220884,FALSE,2,TRUE,TRUE,FALSE,FALSE,1758.7456896065241,1758.7456896065241,1270.9776570620354,1270.9776570620354,0.9867827712902493,0.9867827712902493,0.9870436543024093,0.9870436543024093
2140744,FALSE,0,FALSE,FALSE,FALSE,FALSE,1622.8812917382472,1622.8812917382472,1236.6530553391647,1236.6530553391647,0.9822889463139317,0.9822889463139317,0.9800281374572413,0.9800281374572413
4531695,FALSE,0,FALSE,FALSE,FALSE,FALSE,1603.5680413371683,1603.5680413371683,1254.669421441822,1254.669421441822,0.9878987313420361,0.9878987313420361,0.9934520690984177,0.9934520690984177
882758,FALSE,0,FALSE,FALSE,FALSE,FALSE,1632.323475815871,1632.323475815871,1265.2793237457058,1265.2793237457058,0.986936718326681,0.986936718326681,0.9853727650417553,0.9853727650417553
5581565,FALSE,0,FALSE,FALSE,FALSE,FALSE,1610.2340165091448,1610.2340165091448,1297.0111458402819,1297.0111458402819,0.986751339701886,0.986751339701886,0.9889655675236654,0.9889655675236654
4667780,FALSE,0,FALSE,FALSE,FALSE,FALSE,1668.4672414324154,1668.4672414324154,1262.871639309625,1262.871639309625,0.9831495325244957,0.9831495325244957,0.989030479195429,0.989030479195429
6152344,FALSE,0,FALSE,FALSE,FALSE,FALSE,1609.124297896007,1609.124297896007,1267.0077449762591,1267.0077449762591,0.9876379274637562,0.9876379274637562,0.9852626765149638,0.9852626765149638
3988066,FALSE,0,FALSE,FALSE,FALSE,FALSE,1632.87127509492,1632.87127509492,1280.1042716780519,1280.1042716780519,0.990327403486053,0.990327403486053,0.9845494758493912,0.9845494758493912
3794945,FALSE,2,TRUE,TRUE,FALSE,FALSE,1808.164446764771,1808.164446764771,1246.9602904238768,1246.9602904238768,0.986444601936413,0.986444601936413,0.9897273466637522,0.9897273466637522
8569263,FALSE,0,FALSE,FALSE,FALSE,FALSE,1736.505104733682,1736.505104733682,1229.2186461653182,1229.2186461653182,0.9844872385282886,0.9844872385282886,0.9886831670507465,0.9886831670507465
5813445,FALSE,0,FALSE,FALSE,FALSE,FALSE,1605.6285323798174,1605.6285323798174,1292.4221287647063,1292.4221287647063,0.9840679116425631,0.9840679116425631,0.9879830001931885,0.9879830001931885
4441654,FALSE,0,FALSE,FALSE,FALSE,FALSE,1733.2129116856677,1733.2129116856677,1242.2392503134333,1242.2392503134333,0.9860615522697757,0.9860615522697757,0.9876125821806594,0.9876125821806594
8008054,FALSE,2,TRUE,TRUE,FALSE,FALSE,1585.234351044035,1585.234351044035,1252.7663009753778,1252.7663009753778,0.9834199178720645,0.9834199178720645,0.9924340550433928,0.9924340550433928
5447651,FALSE,2,TRUE,TRUE,FALSE,FALSE,1564.5271394314639,1564.5271394314639,1278.0739237029557,1278.0739237029557,0.9863834108867426,0.9863834108867426,0.9887198596434102,0.9887198596434102
3208602,FALSE,0,FALSE,FALSE,FALSE,FALSE,1727.3173490270797,1727.3173490270797,1348.9380731502456,1348.9380731502456,0.9853822951161619,0.9853822951161619,0.9834111223582889,0.9834111223582889
9233262,FALSE,0,FALSE,FALSE,FALSE,FALSE,1678.3903749911958,1678.3903749911958,1300.3106906373741,1300.3106906373741,0.9840293888827378,0.9840293888827378,0.9831783897655012,0.9831783897655012
4707661,TRUE,4,TRUE,TRUE,TRUE,TRUE,1573.3943383264157,1573.3943383264157,1419.062717207565,1419.062717207565,0.9870904179561302,0.9870904179561302,0.9863130390529677,0.9863130390529677
9253412,FALSE,0,FALSE,FALSE,FALSE,FALSE,1663.14251554196,1663.14251554196,1226.5050850137832,1226.5050850137832,0.9842051771371478,0.9842051771371478,0.9851844232714293,0.9851844232714293
8704757,FALSE,0,FALSE,FALSE,FALSE,FALSE,1684.333087220966,1684.333087220966,1240.9897436726255,1240.9897436726255,0.987702595001522,0.987702595001522,0.9880136905721016,0.9880136905721016
3635780,FALSE,0,FALSE,FALSE,FALSE,FALSE,1614.619232498679,1614.619232498679,1247.6288042612186,1247.6288042612186,0.9808915768617359,0.9808915768617359,0.9833796417265489,0.9833796417265489
1488461,FALSE,0,FALSE,FALSE,FALSE,FALSE,1615.1414992731982,1615.1414992731982,1248.4207479144088,1248.4207479144088,0.982514631355395,0.982514631355395,0.9889949946673908,0.9889949946673908
192517,FALSE,0,FALSE,FALSE,FALSE,FALSE,1593.1226049004952,1593.1226049004952,1264.1196101676558,1264.1196101676558,0.9842345771345338,0.9842345771345338,0.9863897694508739,0.9863897694508739
4442204,FALSE,0,FALSE,FALSE,FALSE,FALSE,1594.7121341965826,1594.7121341965826,1267.2385617004682,1267.2385617004682,0.9863890730596774,0.9863890730596774,0.9848593581902355,0.9848593581902355
6270354,FALSE,0,FALSE,FALSE,FALSE,FALSE,1590.9322498198485,1590.9322498198485,1247.9151242684256,1247.9151242684256,0.9867873043135938,0.9867873043135938,0.9877466812904911,0.9877466812904911
6499089,FALSE,0,FALSE,FALSE,FALSE,FALSE,1630.0207186298944,1630.0207186298944,1331.1454375170993,1331.1454375170993,0.9773834741853994,0.9773834741853994,0.9895163865989156,0.9895163865989156
3805707,FALSE,0,FALSE,FALSE,FALSE,FALSE,1624.4264405621757,1624.4264405621757,1330.2393164027894,1330.2393164027894,0.9754679644991848,0.9754679644991848,0.987830294523748,0.987830294523748
7370637,FALSE,0,FALSE,FALSE,FALSE,FALSE,1647.5097284118742,1647.5097284118742,1315.5514174849134,1315.5514174849134,0.9837808421958693,0.9837808421958693,0.997832368893444,0.997832368893444
4942677,FALSE,0,FALSE,FALSE,FALSE,FALSE,1705.4182761087063,1705.4182761087063,1227.1260529319643,1227.1260529319643,0.9862298523848627,0.9862298523848627,0.9861439711324749,0.9861439711324749
2687710,FALSE,2,TRUE,TRUE,FALSE,FALSE,1574.875313928151,1574.875313928151,1336.8169486587283,1336.8169486587283,0.9818139050312724,0.9818139050312724,0.9870648497699662,0.9870648497699662
108084,FALSE,2,TRUE,TRUE,FALSE,FALSE,1581.7837284174152,1581.7837284174152,1230.2562218603848,1230.2562218603848,0.9872590408249943,0.9872590408249943,0.9840161803072347,0.9840161803072347
6052246,FALSE,0,FALSE,FALSE,FALSE,FALSE,1607.013521932881,1607.013521932881,1324.6859796637452,1324.6859796637452,0.9918321897256274,0.9918321897256274,0.9895735277623452,0.9895735277623452
6298004,FALSE,2,TRUE,TRUE,FALSE,FALSE,1567.9052412440042,1567.9052412440042,1289.0997667207594,1289.0997667207594,0.9887267422674579,0.9887267422674579,0.987490385111073,0.987490385111073
7149611,FALSE,2,TRUE,TRUE,FALSE,FALSE,1576.5388111194354,1576.5388111194354,1286.8765910042946,1286.8765910042946,0.9859620928259625,0.9859620928259625,0.988848807123514,0.988848807123514
289680,FALSE,0,FALSE,FALSE,FALSE,FALSE,1696.5434741063707,1696.5434741063707,1304.7086870814853,1304.7086870814853,0.9882523414482359,0.9882523414482359,0.9882419357766188,0.9882419357766188
9533201,FALSE,2,TRUE,TRUE,FALSE,FALSE,1805.9450840614436,1805.9450840614436,1265.0112635005585,1265.0112635005585,0.9905151517040846,0.9905151517040846,0.9859340109413756,0.9859340109413756
497338,FALSE,0,FALSE,FALSE,FALSE,FALSE,1608.7319862426054,1608.7319862426054,1225.967221670412,1225.967221670412,0.9879200186113429,0.9879200186113429,0.9848428549894604,0.9848428549894604
7131539,FALSE,0,FALSE,FALSE,FALSE,FALSE,1593.380857965499,1593.380857965499,1274.6000157609312,1274.6000157609312,0.9894268199143523,0.9894268199143523,0.9926083296835004,0.9926083296835004
9008263,FALSE,0,FALSE,FALSE,FALSE,FALSE,1632.8267042528037,1632.8267042528037,1315.6547676754146,1315.6547676754146,0.971210627577411,0.971210627577411,0.9844895230286077,0.9844895230286077
2627919,FALSE,2,TRUE,TRUE,FALSE,FALSE,1587.971447102479,1587.971447102479,1259.272548870206,1259.272548870206,0.9806605395374892,0.9806605395374892,0.987921531010092,0.987921531010092
848882,FALSE,2,TRUE,TRUE,FALSE,FALSE,1566.6111131014788,1566.6111131014788,1328.127058707951,1328.127058707951,0.9875779851937001,0.9875779851937001,0.9860930768968845,0.9860930768968845
8850825,FALSE,0,FALSE,FALSE,FALSE,FALSE,1717.5359324948915,1717.5359324948915,1264.8707962887634,1264.8707962887634,0.9873266110494808,0.9873266110494808,0.9894145804361332,0.9894145804361332
2416171,FALSE,0,FALSE,FALSE,FALSE,FALSE,1637.6404315526129,1637.6404315526129,1261.487111368003,1261.487111368003,0.9858304778116566,0.9858304778116566,0.9897204247306708,0.9897204247306708
8724009,FALSE,0,FALSE,FALSE,FALSE,FALSE,1646.487092371072,1646.487092371072,1264.2559756136209,1264.2559756136209,0.9861941682804859,0.9861941682804859,0.9927313135596922,0.9927313135596922
2671373,FALSE,0,FALSE,FALSE,FALSE,FALSE,1700.4207077732183,1700.4207077732183,1252.3436678033045,1252.3436678033045,0.9855737026147957,0.9855737026147957,0.9873580377673228,0.9873580377673228
9301444,FALSE,2,TRUE,TRUE,FALSE,FALSE,1564.6632135640716,1564.6632135640716,1305.5005269699082,1305.5005269699082,0.9822724263501116,0.9822724263501116,0.9879430066923113,0.9879430066923113
9484140,FALSE,0,FALSE,FALSE,FALSE,FALSE,1655.8461663311987,1655.8461663311987,1304.8420970834786,1304.8420970834786,0.9821565965617898,0.9821565965617898,0.9895475372432916,0.9895475372432916
180154,FALSE,2,TRUE,TRUE,FALSE,FALSE,1791.0403503925381,1791.0403503925381,1267.836870729477,1267.836870729477,0.993371853577564,0.993371853577564,0.9891808585788233,0.9891808585788233
9235111,TRUE,4,TRUE,TRUE,TRUE,TRUE,1778.1837335028945,1778.1837335028945,1518.9073678697441,1518.9073678697441,0.9798381908234366,0.9798381908234366,0.9849739839556506,0.9849739839556506
9198059,FALSE,0,FALSE,FALSE,FALSE,FALSE,1638.939878694275,1638.939878694275,1247.434985192426,1247.434985192426,0.9839649525467825,0.9839649525467825,0.9888791186842835,0.9888791186842835
3508102,FALSE,0,FALSE,FALSE,FALSE,FALSE,1587.4973601663366,1587.4973601663366,1286.8978200415706,1286.8978200415706,0.9824487457777556,0.9824487457777556,0.9854709092712364,0.9854709092712364
6711591,FALSE,2,TRUE,TRUE,FALSE,FALSE,1549.3004173965992,1549.3004173965992,1245.458044765493,1245.458044765493,0.9887367977515842,0.9887367977515842,0.9935416709010865,0.9935416709010865
1929924,FALSE,0,FALSE,FALSE,FALSE,FALSE,1595.1477643216085,1595.1477643216085,1254.9331918121854,1254.9331918121854,0.989972514400898,0.989972514400898,0.985130269925599,0.985130269925599
1767127,FALSE,0,FALSE,FALSE,FALSE,FALSE,1691.616271545257,1691.616271545257,1266.6108148606,1266.6108148606,0.9868000379152222,0.9868000379152222,0.9864440256622262,0.9864440256622262
6792812,FALSE,2,TRUE,TRUE,FALSE,FALSE,1575.572604935044,1575.572604935044,1256.5549025351415,1256.5549025351415,0.9865174980561147,0.9865174980561147,0.9895541410605491,0.9895541410605491
1276803,FALSE,0,FALSE,FALSE,FALSE,FALSE,1643.3018496478524,1643.3018496478524,1233.774309016947,1233.774309016947,0.9862690217189437,0.9862690217189437,0.9900621498250352,0.9900621498250352
226033,FALSE,0,FALSE,FALSE,FALSE,FALSE,1651.9893619269792,1651.9893619269792,1312.8577873986515,1312.8577873986515,0.9790559515666709,0.9790559515666709,0.9880546331972173,0.9880546331972173
6466889,FALSE,0,FALSE,FALSE,FALSE,FALSE,1597.0691723344091,1597.0691723344091,1365.684143096489,1365.684143096489,0.9910937853543231,0.9910937853543231,0.9922240975078771,0.9922240975078771
346925,FALSE,0,FALSE,FALSE,FALSE,FALSE,1599.477854955689,1599.477854955689,1285.134859005336,1285.134859005336,0.9837962807343867,0.9837962807343867,0.9869435845285693,0.9869435845285693
8432606,FALSE,0,FALSE,FALSE,FALSE,FALSE,1675.7844042067172,1675.7844042067172,1259.7286534448178,1259.7286534448178,0.9868069105862072,0.9868069105862072,0.9889934798226903,0.9889934798226903
3522330,FALSE,0,FALSE,FALSE,FALSE,FALSE,1612.151769915398,1612.151769915398,1237.8516690776976,1237.8516690776976,0.9983170582185942,0.9983170582185942,0.987025104019008,0.987025104019008
3756991,FALSE,0,FALSE,FALSE,FALSE,FALSE,1620.7088662687902,1620.7088662687902,1281.024334927073,1281.024334927073,0.9839360669280188,0.9839360669280188,0.9908520213331039,0.9908520213331039
8164981,FALSE,2,FALSE,FALSE,TRUE,TRUE,1645.363989395647,1645.363989395647,1406.7860490255377,1406.7860490255377,0.9899035153708262,0.9899035153708262,0.9860844139310263,0.9860844139310263
1901622,FALSE,2,TRUE,TRUE,FALSE,FALSE,1574.0639287104186,1574.0639287104186,1361.9760536203082,1361.9760536203082,0.9987877780053331,0.9987877780053331,0.987284437489829,0.987284437489829
5854376,FALSE,0,FALSE,FALSE,FALSE,FALSE,1658.3340177246782,1658.3340177246782,1265.2263398024345,1265.2263398024345,0.9931511979788978,0.9931511979788978,0.9878217842760959,0.9878217842760959
5070268,FALSE,0,FALSE,FALSE,FALSE,FALSE,1626.1814028704666,1626.1814028704666,1275.4111563247989,1275.4111563247989,0.9886876786925166,0.9886876786925166,0.9856630579104503,0.9856630579104503
7999332,FALSE,2,TRUE,TRUE,FALSE,FALSE,1572.4464481843984,1572.4464481843984,1320.5665292864776,1320.5665292864776,0.9884883289257647,0.9884883289257647,0.9930928771783224,0.9930928771783224
3111963,FALSE,2,TRUE,TRUE,FALSE,FALSE,1589.345867214687,1589.345867214687,1230.435725170611,1230.435725170611,0.9930466591480969,0.9930466591480969,0.9857912634722348,0.9857912634722348
1403004,FALSE,2,TRUE,TRUE,FALSE,FALSE,1598.3973499185279,1598.3973499185279,1372.270284335732,1372.270284335732,0.9815765457432362,0.9815765457432362,0.9916780998671589,0.9916780998671589
4263350,FALSE,0,FALSE,FALSE,FALSE,FALSE,1612.190769399655,1612.190769399655,1267.3111374537657,1267.3111374537657,0.986161878034614,0.986161878034614,0.992489877033308,0.992489877033308
1889634,FALSE,2,TRUE,TRUE,FALSE,FALSE,1805.354611469501,1805.354611469501,1222.982950867841,1222.982950867841,0.9875293990077593,0.9875293990077593,0.9896397406566292,0.9896397406566292
4369847,FALSE,2,FALSE,FALSE,TRUE,TRUE,1648.9225271327925,1648.9225271327925,1471.675891877642,1471.675891877642,0.9966844977621168,0.9966844977621168,0.9879256220532292,0.9879256220532292
9233001,FALSE,0,FALSE,FALSE,FALSE,FALSE,1600.1228333066779,1600.1228333066779,1253.4617934953349,1253.4617934953349,0.9941486489299014,0.9941486489299014,0.9876760302734908,0.9876760302734908
9467553,FALSE,0,FALSE,FALSE,FALSE,FALSE,1755.381445687837,1755.381445687837,1315.8412467343078,1315.8412467343078,0.982313719436191,0.982313719436191,0.9861906548674443,0.9861906548674443
2784592,FALSE,0,FALSE,FALSE,FALSE,FALSE,1570.6284552097125,1570.6284552097125,1250.915706119688,1250.915706119688,0.9845033320584556,0.9845033320584556,0.9891385707001747,0.9891385707001747
7794002,FALSE,2,TRUE,TRUE,FALSE,FALSE,1578.5904006317141,1578.5904006317141,1247.0867287353942,1247.0867287353942,0.9846441229023323,0.9846441229023323,0.9876219974548975,0.9876219974548975
7541906,FALSE,0,FALSE,FALSE,FALSE,FALSE,1616.6318210196096,1616.6318210196096,1285.431739496827,1285.431739496827,0.9852222251807047,0.9852222251807047,0.983673106101058,0.983673106101058
5158416,FALSE,0,FALSE,FALSE,FALSE,FALSE,1640.8827469379194,1640.8827469379194,1342.2932241335357,1342.2932241335357,0.9879275687148544,0.9879275687148544,0.9892346106397799,0.9892346106397799
1956510,TRUE,4,TRUE,TRUE,TRUE,TRUE,1771.1763774744857,1771.1763774744857,1453.4924365428883,1453.4924365428883,0.986143958832242,0.986143958832242,0.9850475898984618,0.9850475898984618
8788881,FALSE,0,FALSE,FALSE,FALSE,FALSE,1661.1016075035445,1661.1016075035445,1285.5790331360959,1285.5790331360959,0.9891893879600029,0.9891893879600029,0.9872304345581374,0.9872304345581374
566861,FALSE,2,FALSE,FALSE,TRUE,TRUE,1674.8550581081552,1674.8550581081552,1303.9202663266026,1303.9202663266026,0.9836832771795911,0.9836832771795911,0.990386197886576,0.990386197886576
