id;ano;mes;semana_operativa;data_inicio;data_fim;ena_bruta_mw_se;ena_bruta_mw_s;ena_bruta_mw_ne;ena_bruta_mw_n;ena_bruta_mlt_se;ena_bruta_mlt_s;ena_bruta_mlt_ne;ena_bruta_mlt_n;ena_arm_mw_se;ena_arm_mw_s;ena_arm_mw_ne;ena_arm_mw_n;ena_arm_mlt_se;ena_arm_mlt_s;ena_arm_mlt_ne;ena_arm_mlt_n;vol_ena_arm_mlt_se;vol_ena_arm_mlt_s;vol_ena_arm_mlt_ne;vol_ena_arm_mlt_n;dias_contabilizados
575;2014;9;692;2014-09-06;2014-09-12;13700.2857142857;10789.1428571429;1994.57142857143;1315.42857142857;78.2599999557143;90.4114281785714;66.1285727371428;83.89857156;13524.4285714286;10066.1428571429;1972.42857142857;1298.71428571429;77.25428663;84.3528562271429;65.3914293557143;82.8328563142857;3.35015731081585;9.48388584290204;1.94473815441578;1.8993139682226;7
574;2014;9;693;2014-09-13;2014-09-19;11973.5714285714;7248.85714285714;2023.42857142857;1243;68.3957148971429;60.74571337;67.0842862814286;79.2785709928571;11747.8571428571;6294.28571428571;2001.28571428571;1231.85714285714;67.1057156142857;52.7471422457143;66.349999562857107;78.5699996942857;2.23735455133642;8.7248778947319;0.957860914959407;1.2652271565778;7
573;2014;9;694;2014-09-20;2014-09-26;14210.2857142857;10429.1428571429;1857.28571428571;1271.28571428571;81.1714292271429;87.3957138057143;61.5771435314286;81.0842851928571;13933.7142857143;9413.42857142857;1844.57142857143;1258;79.5914295742857;78.8842849714286;61.15428652;80.2357155928571;9.29251681546016;10.8103280153302;2.05289969478274;1.45705085677669;7
572;2014;9;695;2014-09-27;2014-10-03;22211.8571428571;39273.1428571429;1798.28571428571;1337.42857142857;117.74999891;307.018576485714;57.5199999114286;80.9742845814286;21927;25053.2857142857;1783.85714285714;1321.71428571429;116.24571446;196.072856358571;57.0542858671429;80.0200010028571;10.4391569610534;64.4155040877829;3.66072240600148;4.19142849997122;7
571;2014;10;696;2014-10-04;2014-10-10;17396.8571428571;22081.7142857143;1635.71428571429;1310.71428571429;83.0728574485714;163.025714328571;49.6957141342857;73.8442862385714;17213.5714285714;17022.1428571429;1617.14285714286;1301.42857142857;82.1985724328571;125.67000035;49.1299999785714;73.3199996942857;15.7701984179613;36.9426075058278;3.97063795821296;0.80849545643091;7
570;2014;10;697;2014-10-11;2014-10-17;11469.7142857143;14251.1428571429;1484.57142857143;1252.14285714286;54.77142879;105.214285715714;45.1042861928572;70.5457153328571;11260.5714285714;11970;1466.85714285714;1245.85714285714;53.7728571214286;88.3700005657143;44.5628564028572;70.1914280485714;4.13867825487816;8.05839554310142;2.3897187338104;1.34686693130027;7
569;2014;10;698;2014-10-18;2014-10-24;10248.1428571429;16628.4285714286;1459.85714285714;1411.42857142857;48.93571472;122.765713282857;44.3514284414286;79.5200010028572;10120.4285714286;12355;1444.85714285714;1397.71428571429;48.3271429857143;91.2142857128571;43.8942860185714;78.7471422485714;0.719599999269769;17.2367097389812;4.46829555893007;6.14135389862415;7
568;2014;10;699;2014-10-25;2014-10-31;11889.7142857143;7129.57142857143;1346.71428571429;1529.14285714286;56.7757148728571;52.6357143928571;40.9157137185714;86.1514271328572;11604.7142857143;6298.71428571429;1330;1512.85714285714;55.4142859342857;46.5028566642857;40.4071426371429;85.2314289642857;3.24386652295229;7.91989799484912;3.03536268978804;2.17732526291031;7
567;2014;11;700;2014-11-01;2014-11-07;14352.7142857143;7684.57142857143;1452;1664.42857142857;53.1885713842857;80.8642850614286;26.9828572971429;57.0171432485714;13563.8571428571;6457.57142857143;1434.28571428571;1655.42857142857;50.2657143728571;67.9499996728571;26.6557143071429;56.7128573828571;3.7178609848767;24.7242178265913;2.55721134827435;2.08154372954916;7
566;2014;11;701;2014-11-08;2014-11-14;17777.5714285714;12683;1982;1962.14285714286;65.8800005228571;133.459999087143;36.8342857357143;67.0142854957143;17298.4285714286;11654.4285714286;1966;1952.42857142857;64.1028556828571;122.634287152857;36.53428541;66.68285806;2.82498074554389;37.4882879506869;4.09708378291257;2.93685715292965;7
565;2014;11;702;2014-11-15;2014-11-21;18312.5714285714;5984;2970.42857142857;2578.14285714286;67.86285673;62.9671423785714;55.2014285485714;86.61428506;17964;5241.57142857143;2969.14285714286;2538;66.5685713614286;55.1557143071429;55.1771430957143;85.2685721257143;3.58206834217727;11.7155004081748;6.11987686000155;8.50441846183759;7
564;2014;11;703;2014-11-22;2014-11-28;19623.1428571429;7381.42857142857;3360.14285714286;2977.14285714286;72.71999904;77.6728570128571;62.44285747;100.022856575714;19404.5714285714;6429.85714285714;3356.71428571429;2955.28571428571;71.9085704242857;67.65714373;62.3800005228571;99.2885709471429;10.0793921106188;20.1531010417234;2.32312360712213;4.42894868549865;7
563;2014;11;704;2014-11-29;2014-12-05;31149.7142857143;6464.71428571429;3673.57142857143;2682.14285714286;86.5900006971429;79.7228567928571;45.2971425728571;59.2357134142857;30666.5714285714;5660.57142857143;3666.14285714286;2653;85.1457148971429;69.7571422028572;45.1599993014286;58.3314285285714;12.721036498072;5.11516904653173;13.0089600822562;19.3109037135973;7
562;2014;12;705;2014-12-06;2014-12-12;31046.8571428571;4632.42857142857;4956.57142857143;3199.57142857143;76.0757152014286;61.1085717328571;49.6400004785714;56.0957145728571;30489.7142857143;3572.42857142857;4947.71428571429;3189.14285714286;74.7085712971429;47.1271427714286;49.5514286585714;55.9128565085714;2.03476992809521;6.51767192284848;6.18926061802157;4.9032600878687;7
561;2014;12;706;2014-12-13;2014-12-19;34461.1428571429;5818.85714285714;7613.71428571429;4501.42857142857;84.4399991714286;76.7585710785714;76.2514277857143;78.6757136757143;33909.5714285714;5043.42857142857;7596.42857142857;4496;83.0899996085714;66.5314287457143;76.0785702285714;78.5785707757143;3.88438764339726;13.5504566985547;8.70537982705809;9.63401557333732;7
560;2014;12;707;2014-12-20;2014-12-26;38535.7142857143;9212.14285714286;8466.85714285714;6332.14285714286;94.4257125842857;121.522857665714;84.79714312;110.297143118571;38113.1428571429;8806.42857142857;8134.57142857143;6314;93.39000048;116.168570928571;81.4657135014286;109.978571211429;8.01469024953394;32.4154335710844;4.52615050518574;9.01232147665044;7
559;2014;12;708;2014-12-27;2015-01-02;35675.4285714286;18397.2857142857;7244.57142857143;6427.42857142857;81.5485703614286;242.678571428571;67.1628570542857;99.7214279171429;35461.2857142857;16924.1428571429;7162.71428571429;6420.28571428571;81.0599986471429;223.24571446;66.3571423128571;99.6042851028571;17.3701546692826;71.1544975835921;11.8470454078179;27.7138411989884;7
