DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (R$ ou u.m.c.)
1985-03-20;GM366_ERC366;1985-03-20T00:00:00-03:00;20;3;1985;1,52e-09
1985-03-21;GM366_ERC366;1985-03-21T00:00:00-03:00;21;3;1985;1,52e-09
1985-03-22;GM366_ERC366;1985-03-22T00:00:00-03:00;22;3;1985;1,53818181818182e-09
1985-03-23;GM366_ERC366;1985-03-23T00:00:00-03:00;23;3;1985;
1985-03-24;GM366_ERC366;1985-03-24T00:00:00-03:00;24;3;1985;
1985-03-25;GM366_ERC366;1985-03-25T00:00:00-03:00;25;3;1985;1,55272727272727e-09
1985-03-26;GM366_ERC366;1985-03-26T00:00:00-03:00;26;3;1985;1,56727272727273e-09
1985-03-27;GM366_ERC366;1985-03-27T00:00:00-03:00;27;3;1985;1,58181818181818e-09
1985-03-28;GM366_ERC366;1985-03-28T00:00:00-03:00;28;3;1985;1,59272727272727e-09
1985-03-29;GM366_ERC366;1985-03-29T00:00:00-03:00;29;3;1985;1,61090909090909e-09
1985-03-30;GM366_ERC366;1985-03-30T00:00:00-03:00;30;3;1985;
1985-03-31;GM366_ERC366;1985-03-31T00:00:00-03:00;31;3;1985;
1985-04-01;GM366_ERC366;1985-04-01T00:00:00-03:00;1;4;1985;1,61818181818182e-09
1985-04-02;GM366_ERC366;1985-04-02T00:00:00-03:00;2;4;1985;1,62909090909091e-09
1985-04-03;GM366_ERC366;1985-04-03T00:00:00-03:00;3;4;1985;1,64e-09
1985-04-04;GM366_ERC366;1985-04-04T00:00:00-03:00;4;4;1985;
1985-04-05;GM366_ERC366;1985-04-05T00:00:00-03:00;5;4;1985;
1985-04-06;GM366_ERC366;1985-04-06T00:00:00-03:00;6;4;1985;
1985-04-07;GM366_ERC366;1985-04-07T00:00:00-03:00;7;4;1985;
1985-04-08;GM366_ERC366;1985-04-08T00:00:00-03:00;8;4;1985;1,65090909090909e-09
1985-04-09;GM366_ERC366;1985-04-09T00:00:00-03:00;9;4;1985;1,65818181818182e-09
1985-04-10;GM366_ERC366;1985-04-10T00:00:00-03:00;10;4;1985;1,66545454545455e-09
1985-04-11;GM366_ERC366;1985-04-11T00:00:00-03:00;11;4;1985;1,67636363636364e-09
1985-04-12;GM366_ERC366;1985-04-12T00:00:00-03:00;12;4;1985;1,68363636363636e-09
1985-04-13;GM366_ERC366;1985-04-13T00:00:00-03:00;13;4;1985;
1985-04-14;GM366_ERC366;1985-04-14T00:00:00-03:00;14;4;1985;
1985-04-15;GM366_ERC366;1985-04-15T00:00:00-03:00;15;4;1985;1,69454545454545e-09
1985-04-16;GM366_ERC366;1985-04-16T00:00:00-03:00;16;4;1985;1,70545454545455e-09
1985-04-17;GM366_ERC366;1985-04-17T00:00:00-03:00;17;4;1985;1,71272727272727e-09
1985-04-18;GM366_ERC366;1985-04-18T00:00:00-03:00;18;4;1985;1,72363636363636e-09
1985-04-19;GM366_ERC366;1985-04-19T00:00:00-03:00;19;4;1985;1,73454545454545e-09
1985-04-20;GM366_ERC366;1985-04-20T00:00:00-03:00;20;4;1985;
1985-04-21;GM366_ERC366;1985-04-21T00:00:00-03:00;21;4;1985;
1985-04-22;GM366_ERC366;1985-04-22T00:00:00-03:00;22;4;1985;
1985-04-23;GM366_ERC366;1985-04-23T00:00:00-03:00;23;4;1985;1,75272727272727e-09
1985-04-24;GM366_ERC366;1985-04-24T00:00:00-03:00;24;4;1985;1,76363636363636e-09
1985-04-25;GM366_ERC366;1985-04-25T00:00:00-03:00;25;4;1985;1,77090909090909e-09
1985-04-26;GM366_ERC366;1985-04-26T00:00:00-03:00;26;4;1985;1,78181818181818e-09
1985-04-27;GM366_ERC366;1985-04-27T00:00:00-03:00;27;4;1985;
1985-04-28;GM366_ERC366;1985-04-28T00:00:00-03:00;28;4;1985;
1985-04-29;GM366_ERC366;1985-04-29T00:00:00-03:00;29;4;1985;1,79272727272727e-09
