"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2021","3.851","3.846","3.988","3.734","558.68K","-0.26%"
"08/08/2021","3.861","4.168","4.185","3.846","809.41K","-6.74%"
"08/01/2021","4.140","3.973","4.205","3.915","652.78K","5.77%"
"07/25/2021","3.914","4.025","4.187","3.855","380.58K","-3.60%"
"07/18/2021","4.060","3.703","4.071","3.686","530.53K","10.51%"
"07/11/2021","3.674","3.673","3.769","3.584","576.04K","0.00%"
"07/04/2021","3.674","3.704","3.822","3.520","541.08K","-0.70%"
"06/27/2021","3.700","3.502","3.814","3.485","660.21K","5.84%"
"06/20/2021","3.496","3.206","3.511","3.137","344.00K","8.74%"
"06/13/2021","3.215","3.315","3.369","3.166","633.81K","-2.46%"
"06/06/2021","3.296","3.109","3.330","3.033","825.19K","6.43%"
"05/30/2021","3.097","3.036","3.150","3.010","526.95K","3.72%"
"05/23/2021","2.986","2.850","3.042","2.832","320.02K","2.75%"
"05/16/2021","2.906","3.019","3.150","2.894","541.81K","-1.86%"
"05/09/2021","2.961","2.970","3.016","2.881","470.41K","0.10%"
"05/02/2021","2.958","2.938","3.001","2.900","479.98K","0.92%"
"04/25/2021","2.931","2.710","2.971","2.700","303.52K","7.36%"
"04/18/2021","2.730","2.707","2.779","2.657","478.42K","1.87%"
"04/11/2021","2.680","2.530","2.700","2.529","669.80K","6.10%"
"04/04/2021","2.526","2.593","2.616","2.453","684.22K","-4.28%"
"03/28/2021","2.639","2.563","2.688","2.530","199.42K","3.21%"
"03/21/2021","2.557","2.507","2.592","2.478","320.26K","0.87%"
"03/14/2021","2.535","2.558","2.566","2.422","545.15K","-2.50%"
"03/07/2021","2.600","2.691","2.734","2.584","545.35K","-3.74%"
"02/28/2021","2.701","2.800","2.887","2.681","534.30K","-2.53%"
"02/21/2021","2.771","3.010","3.030","2.697","349.13K","-9.71%"
"02/14/2021","3.069","3.046","3.316","2.976","746.28K","5.39%"
"02/07/2021","2.912","2.909","3.045","2.741","1.11M","1.71%"
"01/31/2021","2.863","2.730","3.057","2.712","1.10M","11.66%"
"01/24/2021","2.564","2.542","2.773","2.504","373.73K","4.82%"
"01/17/2021","2.446","2.652","2.673","2.414","508.90K","-10.63%"
"01/10/2021","2.737","2.600","2.899","2.589","861.96K","1.37%"
"01/03/2021","2.700","2.626","2.770","2.566","707.11K","6.34%"
"12/27/2020","2.539","2.311","2.547","2.238","245.45K","0.83%"
"12/20/2020","2.518","2.730","2.806","2.515","355.71K","-6.74%"
"12/13/2020","2.700","2.658","2.724","2.596","685.43K","4.21%"
"12/06/2020","2.591","2.456","2.630","2.368","992.62K","0.62%"
"11/29/2020","2.575","2.831","2.996","2.462","838.82K","-9.43%"
"11/22/2020","2.843","2.705","2.963","2.649","180.17K","7.28%"
"11/15/2020","2.650","2.871","2.887","2.525","660.69K","-11.52%"
"11/08/2020","2.995","2.872","3.087","2.821","677.80K","3.70%"
"11/01/2020","2.888","3.374","3.393","2.866","846.93K","-13.89%"
"10/25/2020","3.354","2.941","3.396","2.907","413.46K","12.89%"
"10/18/2020","2.971","2.641","3.066","2.638","591.07K","7.14%"
"10/11/2020","2.773","2.891","2.955","2.610","839.48K","1.17%"
"10/04/2020","2.741","2.455","2.821","2.446","961.83K","12.43%"
"09/27/2020","2.438","2.105","2.789","2.020","665.35K","13.98%"
"09/20/2020","2.139","1.991","2.320","1.795","560.34K","4.44%"
"09/13/2020","2.048","2.306","2.399","1.926","770.01K","-9.74%"
"09/06/2020","2.269","2.586","2.586","2.246","687.84K","-12.33%"
"08/30/2020","2.588","2.629","2.675","2.415","1.00M","-2.60%"
"08/23/2020","2.657","2.460","2.743","2.388","338.30K","8.54%"
"08/16/2020","2.448","2.392","2.468","2.280","679.99K","3.90%"
"08/09/2020","2.356","2.257","2.379","2.085","953.14K","5.27%"
"08/02/2020","2.238","1.859","2.284","1.852","1.16M","24.40%"
"07/26/2020","1.799","1.796","1.928","1.714","352.03K","-0.50%"
"07/19/2020","1.808","1.700","1.818","1.605","609.76K","5.24%"
"07/12/2020","1.718","1.785","1.815","1.690","638.75K","-4.82%"
"07/05/2020","1.805","1.738","1.924","1.733","986.28K","4.09%"
"06/28/2020","1.734","1.567","1.784","1.558","775.92K","15.99%"
"06/21/2020","1.495","1.671","1.712","1.432","319.78K","-10.43%"
"06/14/2020","1.669","1.753","1.761","1.597","757.90K","-3.58%"
"06/07/2020","1.731","1.810","1.833","1.674","979.47K","-2.86%"
"05/31/2020","1.782","1.830","1.864","1.742","870.36K","-3.62%"
"05/24/2020","1.849","1.746","1.896","1.692","430.01K","6.82%"
"05/17/2020","1.731","1.725","1.889","1.680","777.86K","5.16%"
"05/10/2020","1.646","1.838","1.890","1.595","1.08M","-9.71%"
"05/03/2020","1.823","1.961","2.162","1.811","1.18M","-3.54%"
"04/26/2020","1.890","1.701","2.016","1.593","581.24K","8.25%"
"04/19/2020","1.746","1.774","1.974","1.701","847.55K","-0.40%"
"04/12/2020","1.753","1.752","1.813","1.555","979.94K","1.15%"
"04/05/2020","1.733","1.650","1.918","1.630","879.46K","6.91%"
"03/29/2020","1.621","1.630","1.731","1.521","709.01K","-0.80%"
"03/22/2020","1.634","1.533","1.716","1.519","327.82K","1.87%"
"03/15/2020","1.604","1.854","1.854","1.555","897.77K","-14.18%"
"03/08/2020","1.869","1.678","1.998","1.610","1.46M","9.43%"
"03/01/2020","1.708","1.695","1.847","1.680","909.84K","1.43%"
"02/23/2020","1.684","1.884","1.884","1.642","647.95K","-11.60%"
"02/16/2020","1.905","1.880","2.025","1.861","1.01M","3.70%"
"02/09/2020","1.837","1.813","1.869","1.753","1.39M","-1.13%"
"02/02/2020","1.858","1.852","1.906","1.804","1.00M","0.92%"
"01/26/2020","1.841","1.935","1.976","1.812","496.89K","-2.75%"
"01/19/2020","1.893","1.970","1.980","1.830","817.71K","-5.49%"
"01/12/2020","2.003","2.210","2.255","1.994","1.15M","-9.04%"
"01/05/2020","2.202","2.112","2.234","2.099","1.07M","3.38%"
"12/29/2019","2.130","2.247","2.258","2.083","550.45K","-1.30%"
"12/22/2019","2.158","2.254","2.297","2.138","240.08K","-7.30%"
"12/15/2019","2.328","2.296","2.377","2.232","896.69K","1.39%"
"12/08/2019","2.296","2.210","2.348","2.158","1.24M","-1.63%"
"12/01/2019","2.334","2.315","2.510","2.289","1.15M","2.32%"
"11/24/2019","2.281","2.689","2.709","2.270","471.57K","-14.41%"
"11/17/2019","2.665","2.641","2.675","2.501","754.46K","-0.86%"
